Incident Date,Complaint ID,Date Received,District,Classification,Summary
6/27/19,19-0314,2019-07-02 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 6-27-19 at 5:00 PM, they were physically and verbally abused, by officers assigned to the 19th District."
11/19/20,20-0594,2020-11-23 05:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-19-20 at 6:10 PM, they were involved in an auto accident and police prepared a report for them. The complainant states that after reviewing the report, they noticed an incorrect statement on it. When the complainant called the district and spoke to the officer who prepared the report, the officer was rude towards her and later told her that he was busy, then hung up."
11/10/19,19-0610,2019-11-19 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 11-10-19, they did not receive proper service from an officer assigned to the 19th District."
10/15/19,19-0617,2019-11-21 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 10-15-19, they did not receive proper service from detectives assigned to Southwest Detective Division and officers assigned to the 19th District."
11/18/19,19-0632,2019-12-02 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-18-19, departmental policies were violated by supervisors and an officer within the confines of the 19th District."
6/26/18,18-0441,2018-09-07 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-26-18, they were improperly searched by a detective assigned to Southwest Detective Division."
7/6/19,19-0339,2019-07-16 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-6-19 at 11:00 PM, they were improperly detained by 19th District officers after the officers failed to properly investigate an incident."
7/9/19,19-0344,2019-07-17 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 7-9-19 at 3:56 PM, they did not receive proper service from unknown officers assigned to the 19th District."
9/28/18,18-0480,2018-10-02 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-28-18 at 6:20pm, an officer assigned to the 19th district abused their police authority."
3/28/18,18-0487,2018-10-09 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-28-18 at 6:40pm, they were improperly stopped and false reports were prepared by officers assigned to the 19th District."
10/4/18,18-0493,2018-10-11 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-4-18, they were verbally abused and treated unprofessionally by an officer assigned to the 19th District."
7/9/19,19-0354,2019-07-18 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 7-9-19 at 10:15 PM, they were physically abused by an officer assigned to the 19th District."
7/16/19,19-0356,2019-07-22 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-16-19 at 7:54 PM, they were improperly stopped by officers within the confines of the 19th District."
7/9/19,19-0357,2019-07-22 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-9-19 at 7:25 PM, they were treated unprofessionally by officers assigned to the 19th District."
7/24/19,19-0368,2019-07-30 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-24-19 at 9:45 PM, they were verbally abused by an officer assigned to the 19th District."
7/25/19,19-0373,2019-08-08 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 7-25-19 at 8:45 PM, they were physically abused and threatened by unknown officers while in the confines of the 19th District."
7/15/19,19-0377,2019-08-08 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 7-15-19 at 9:35 PM, they were physically abused by unknown officers while in the confines of the 19th District."
7/31/19,19-0382,2019-08-08 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-31-19 at 6:30 AM, unknown officers did not follow proper police procedure within the confines of the 19th District."
12/9/19,20-0004,2020-01-08 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-9-19 at 7:19 PM, officers failed to follow proper procedure while in the confines of the 19th District."
1/6/20,20-0013,2020-01-13 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-6-20 at 5:15 PM, they were improperly stopped by officers assigned to the 19th District."
1/4/20,20-0020,2020-01-15 05:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 1-4-20 at 10:57 PM, they were physically and verbally abused by a sergeant and officers assigned to the 19th District."
8/3/19,19-0386,2019-08-12 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-3-19 at 5:33 PM, their property was not returned by officers while in the confines of the 19th District."
8/2/19,19-0390,2019-08-13 04:00:00+00,19,VERBAL ABUSE,"According to the complainant, on 8-2-19 at 1:00 PM, they were verbally abused by a supervisor while in the confines of the 19th District."
6/14/19,19-0407,2019-08-21 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-14-19 at 8:20 PM, they were treated unprofessionally and issued false traffic citations from an officer assigned to the Highway Patrol Unit, while in the confines of the 19th District."
,20-0641,2020-12-29 05:00:00+00,19,HARASSMENT,"According to the complainant, on several occasions, they have been harassed by an off duty officer. The complainant states that the officer has also filed misleading/false police reports with another police department against them."
1/18/20,20-0027,2020-01-30 05:00:00+00,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-18-20 at 11:30 AM, they did not receive proper service from officers assigned to the 19th District."
1/13/20,20-0035,2020-01-30 05:00:00+00,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-13-20 at 6:00 PM, they did not receive proper service from a Southwest Detective Division detective and two officers assigned to the 19th District."
11/8/18,18-0542,2018-11-09 05:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 11-8-18 at 6:30am, they were physically abused by an officer assigned to the 16th District."
2/1/20,20-0055,2020-02-07 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-1-20 at 8:00 AM, they were physically abused by unknown officer within in the confines of the 12th District."
9/10/19,19-0454,2019-09-17 04:00:00+00,19,LACK OF SERVICE,"According to the complainants, on 9-10-19 at 5:55 PM, they did not receive proper service from officers assigned to the 19th District."
1/7/21,21-0008,2021-01-11 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"On 1-7-21 at 12:04 AM, the complainant¿s vehicle was issued a ticket for parking in a handicap spot. The complainant states that the officer, who issued the ticket, deliberately disregarded the handicap card that was clearly visible in the window. The complainant is having issues with a neighbor and that the officer who issued the ticket is their relative. The complainant believes that the officer gave the ticket out of spite to appease the neighbor."
1/8/21,21-0011,2021-01-12 05:00:00+00,19,LACK OF SERVICE,"On 1-8-21 at 6:37 PM, while in the confines of the 19th District, the complainant called 911 twice because a neighbor was listening to music so loud that it rumbled throughout the entire building. The complainant states that no officers responded to the 911 calls."
,21-0012,2021-01-25 05:00:00+00,19,LACK OF SERVICE,"The complainant alleges that on various dates and times, they did not receive proper service from an unknown officer(s), which resulted in being issued a stay away order from a judge in court."
2/11/20,20-0112,2020-03-11 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-20 at 4:00 PM, they were verbally abused and improperly ticketed by an officer while in the confines of the 19th District."
2/20/20,20-0113,2020-03-12 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-20-20 at 6:10 PM, an officer and a sergeant violated departmental policies while in the confines of the 19th District."
11/21/18,18-0610,2018-12-26 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 11-21-18 at 6:00pm, they did not receive proper service from officers assigned to the 19th District."
12/24/18,18-0616,2018-12-28 05:00:00+00,19,VERBAL ABUSE,"According to the complainant, on 12-24-18 at 8:24pm, they were harassed and verbally abused by officers assigned to the 19th District."
9/2/18,18-0618,2018-12-28 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 9-2-18, they did not receive proper service from officers assigned to the 19th District."
12/26/18,19-0481,2019-09-19 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 12-26-18 at 12:00 PM, they were physically abused by officers assigned to the 19th District."
9/14/19,19-0484,2019-09-24 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 9-14-19 at 5:40 PM, they did not receive proper service from an officer assigned to the 19th District."
9/26/19,19-0497,2019-09-30 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 12:51 PM, they were physically and verbally abused by officers assigned to the 19th District."
10/2/19,19-0506,2019-10-04 04:00:00+00,19,VERBAL ABUSE,"According to the complainant, on 10-2-19 at 4:00 PM, they were verbally abused by an officer assigned to the 19th District."
10/2/19,19-0507,2019-10-07 04:00:00+00,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-2-19 at 7:40 PM, they were improperly issued a ticket by officers assigned to the 18th District."
1/17/21,21-0023,2021-01-20 05:00:00+00,19,HARASSMENT,"According to the complainant, on 1-17-21 at 11:21 AM, after being involved in an altercation with another tenant in their building, they noticed several disturbing text messages from the landlord, who is a police officer. One of the text messages read, ¿I¿m going to fight my tenant after the dentist.¿ The complainant also states that the officer has threatened the complainant with eviction multiple times."
2/6/20,20-0127,2020-03-13 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 2-6-20 at 9:00 PM, their vehicle was improperly searched and they were physically abused by officers assigned to the 19th District."
3/11/20,20-0128,2020-03-13 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-20 at 2:30 PM, they were improperly stopped by an officer while in the confines of the 19th District."
3/5/20,20-0141,2020-03-24 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 3-5-20 at 11:00 AM, a weapon was improperly displayed by an unknown officer within the confines of the 19th District."
2/3/19,19-0035,2019-02-06 05:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-3-19 at 11:36pm, they were treated unprofessionally by a police dispatcher assigned to the Radio Room."
2/5/19,19-0047,2019-02-11 05:00:00+00,19,VERBAL ABUSE,"According to the complainant, on 2-5-19 at 2:45pm, they were verbally abused by an officer assigned to the 19th District."
8/4/19,19-0529,2019-10-17 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-4-19 at 5:00 PM, an off-duty detective abused their authority and violated departmental policies within the confines of the 19th District."
11/4/17,19-0541,2019-10-23 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 11-4-17, they were physically abused and did not receive proper service from officers assigned to the 19th District."
4/2/20,20-0156,2020-04-06 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-2-20 at 10:45 AM, departmental policies were violated and they were treated unprofessionally by a Sergeant and an Officer while in the confines of the 19th District."
,21-0441,2021-09-14 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, while in the confines of the 12th District, a sergeant did not provide proper service. The complainant states that they viewed a video on social media where police vehicles were parked illegally outside of the district. The complainant states that in the video, the sergeant did not have the officers park the vehicles legally. Also, the sergeant called people ¿clowns¿ and when they left, continued to berate them."
5/24/21,21-0261,2021-05-26 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 5-24-21 at 2:45 PM, while in the confines of the 19th District, they did not receive proper service from an officer.  They called 911 to investigate a person on a motorcycle.  Police drove by the location twice, but did not investigate the person.  The complainant approached an officer and explained to them what was occurring.  The officer acted disinterested.  The complainant requested a supervisor, but the officer refused."
12/14/21,21-0605,2021-12-23 05:00:00+00,19,VERBAL ABUSE,"According to the complainants, on 12-14-21, while in the confines of the 19th District, they were verbally abused and did not receive proper service from officers. An officer arrived with a tow truck driver to tow their vehicle. The officer told the complainants that they would have to remove the jacks from under the vehicle because it was hazardous. The complainant explained that their family member was in the process of fixing the car. The officer told them that they are not a mechanic and was not going to talk over them. On 12-21-21 at 12:45 PM, an officer arrived with a tow truck to tow a vehicle. The officer refused to give their name, but supplied a badge number. The complainants state that their vehicle was wrongfully towed abandoned by this officer."
12/18/21,21-0608,2021-12-27 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-18-21 at 5:25 PM, while in the confines of the 19th District, they were improperly ticketed by a 19th District officer. The officer ticketed their parked vehicle. The complainant states that they parked in their assigned parking spot, which they pay monthly."
7/20/21,22-0161,2022-04-22 04:00:00+00,19,VERBAL ABUSE,"According to the complainant, on 7-20-21 at 1:35 AM, while in the confines of the 19th District, they were involved in an auto accident. The complainant states that they were rear ended by another vehicle and hospitalized for three days. When the complainant received a copy of the accident report, they found that it was inaccurate. The complainant states that they have attempted to get in contact with the officer who prepared the report by calling and visiting the 19th District several times and that each time officers were rude to them."
5/29/21,21-0273,2021-06-03 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 5-29-21 at 10:45 AM, while in the confines of the 19th District, they allege a lack of service and false arrest by 19th District officers, a sergeant, and a lack of service by a detective assigned to Southwest Detective Division. Officers arrived after a shooting incident and would not listen to the complainant about the incident. The complainant asked for a supervisor. A sergeant arrived and acted annoyed when the complainant identified themselves as a retired sergeant and began to explain what had occurred. The sergeant summoned officers to arrest the complainants family member. When the complainant attempted to tell the sergeant about video evidence, the sergeant made a statement about being active and the complainant being retired. The sergeant arrested their cousin without proper evidence or witness statements. The complainant went to Southwest Detective Division on their own accord. Once there, they had to use the restroom but were refused by the detective."
,21-0274,2021-06-03 04:00:00+00,19,HARASSMENT,"According to the complainant, while in the 19th District, they have been repeatedly harassed by an officer, who is their neighbor¿s family member. The complainant has had various verbal disagreements over the music they play in their house and about cones they put in front of their home to hold a parking spot. The complainant states that the officer has removed the cones and thrown them around the corner. The officer has also threatened to ticket the complainant."
2/25/22,22-0178,2022-05-02 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-25-22 at 6:00 PM, while in the confines of the 19th District, officers responded to an incident in which the complainant was involved. The complainant states that one of the officers was rude, aggressive, demeaning and rushed them as they tried to provide their side of the story. The complainant states that the other officer was disrespectful, treated them unfairly, rushed them when they asked for clarity and tried to insinuate that they were illiterate by making inappropriate jokes."
10/26/21,21-0587,2021-12-15 05:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-26-21 at 3:15 PM, while in the confines of the 19th District, their vehicle was struck by a police SUV and later totaled by their insurance company. While at the scene, the complainant was told that they could not leave and were not allowed to have their vehicle towed. The complainant states that they were told that Internal Affairs had to clear the scene before the vehicle could be towed. The complainant states that no one has reached out to them in reference to the repairs or replacement of their vehicle. The complainant further states that they believe that the officer was driving recklessly in a school zone."
12/7/21,21-0589,2021-12-15 05:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-7-21 at 4:30 PM, while in the confines of the 19th District, an officer checked on their vehicles. The complainant states that the same officer was also there on a prior occasion to check on the same vehicles and they now feel harassed. The officer does not write up any other vehicles in the area that are clearly abandoned, just theirs. When the complainant asked the officer for their name, the officer refused. The complainant also states that on one occasion, the officer told them to shut their dog up."
6/5/21,21-0296,2021-06-15 04:00:00+00,19,CRIMINAL ALLEGATION,"According to the complainant, on 6-5-21 at 11:30 PM, while in the confines of the 19th District, officers broke down their door without showing them a warrant. The complainant states that one of the officers cursed at them repeatedly. The complainant also states that they are missing money from their safe."
11/1/21,22-0035,2022-01-28 05:00:00+00,19,HARASSMENT,"According to the complainant, while in the confines of the 19th District, they were the live-in caregiver for an officer¿s family member. The complainant states that they had a verbal agreement with both officer and their family member that they could stay in the house for one year after the passing of the family member. The complainant states that the officer¿s family member passed away on 11-1-21 and beginning on that week the officer started behaving unprofessionally. The officer comes to the residence unannounced. The complainant states that the officer took one of the keys from a door lock and now they cannot use that door. The officer also slashed their mattress and threw it out. The complainant states the officer is using their position as a police officer to intimidate and harass them."
4/15/22,22-0201,2022-05-16 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, in January 2022, while in the confines of the 18th District, they filed a stolen auto report, due to their vehicle being stolen along with their phone, laptop and wallet. The officer told the complainant that they would be notified by letter or a note would be left at their home, if they found their vehicle, because they did not have their phone. On 4-15-22, the complainant¿s family member received a letter from another township that their vehicle had been found and was sitting in a towing yard. The complainant states that their vehicle has been sitting in the yard since 3-26-22. When the complainant made the initial report, they informed the officer that their phone had been stolen, so they did not understand why they tried to contact them using that phone number. The complainant states that because their vehicle had been sitting in the yard, they owe fees because they were not notified in a timely manner that their vehicle had been found."
11/22/20,21-0139,2021-03-25 04:00:00+00,19,CIVIL RIGHTS COMPLAINT,"On 11-22-20 at 5:39 PM, while in the confines of the 19th District, unknown persons shot at the complainant and in turn, the complainant returned fire. The complainant called 911 to report the incident and was transported to the detective division to speak to a detective. After the complainant gave a statement to a detective, the detective said it was reckless and the complainant was put in a holding cell. The complainant¿s license to carry was taken and when the complainant asked for it, the detective did not have it, in actuality it had already been sent to the Gun Permits Unit. When the complainant¿s gun and holster were taken, they did not receive a property receipt until a week later. The complainant states they were discriminated against. The complainant also states their statement was rewritten; nothing that the complainant said was recorded on the report."
6/24/21,21-0316,2021-06-30 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-24-21 at 12:00 PM, while in the confines of the 19th District, they were involved in an auto accident. The complainant sates that one of the responding officers was rude and stated that they were doing them a favor by taking the report. The officer told the complainant that they would lie on the report by not including the damages to their vehicle. The complainant states that the officer¿s partner acted professionally and assured them that the damage would be noted on the report."
9/17/21,21-0450,2021-09-20 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-17-21 at 7:30 PM, while in the confines of the 19th District, officers violated departmental policies. Officers ¿Live-Stopped¿ their vehicle. The complainant was not on location but Officers stated that their vehicle was being operated by an unlicensed driver. The complainant states that their friend, an unlicensed driver, was not operating the vehicle because the vehicle was not running and there was no key in the ignition. The complainant states that their friend was also detained in the back of the patrol car."
3/12/21,21-0145,2021-03-29 04:00:00+00,19,UNPROFESSIONAL CONDUCT,"The complainant states they were treated unprofessionally by a 19th District officer while in the confines of the 19th District. On 3-12-21 at 4:00 PM, they went to a police facility with other family members to file a police report. The complainant spoke to the officer and informed the officer that a family member was assaulted. The officer immediately attempted to deter the complainant from making a police report. The officer told the complainant that it must not have been important since they waited seven days to file a report. The officer said, ¿Normally, reports for an assault would be taken if brains and blood were involved¿ and made a hand gesture towards their head. The officer took the report, but did it begrudgingly. The officer spoke to the complainant¿s family member in a rude and condescending way."
3/28/21,21-0153,2021-03-31 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"The complainant states they did not receive proper service and departmental policies were violated by officers while in the confines of the 19th District. According to the complainant, on 3-28-21, they were threatened and almost assaulted by a known doer while in police presence. The complainant states that the officers failed to arrest the assailant. The officers told the complainant to get a Protection From Abuse Order and file a complaint for a terrorized threat. The complainant states that officers failed to file a report and failed to give them a district control number to document the incident. The complainant asked the officers for their badge numbers, but they refused."
6/17/21,21-0323,2021-07-06 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-17-21 at 9:00 AM, officers stormed inside of their home. The complainant states that their family member had a bench warrant and therefore, ran out the back door where they were then apprehended by police. The complainant states that while the officers were in their home, they found three handguns in plain sight but continued to search the home. The complainant states that during their search, closet locks were broken, ceiling tiles were removed and more."
6/19/21,21-0328,2021-07-07 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 6-19-21 at 10:00 PM, while in the confines of the 19th District, they were involved in a verbal dispute with a known person over their phone. The complainant went to the 19th District to get assistance on retrieving their phone back. The complainant was advised by a supervisor to wait near the location while they attempted to send someone there to assist. When the supervisor and an officer arrived, they tried to get their phone back without success. While the officers were still on location, the person that had the phone threw it onto the street causing damage to it. The officer picked it up, gave it to the complainant and stayed on location until the complainant left safely. The complainant states that they later discovered that the report was coded as ¿police service not needed.¿ The complainant spoke to the officer, who prepared a second report for her but they later found out that, not only was the first report incorrect, but that the second report was incorrect as well."
11/29/21,22-0055,2022-02-10 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, they went to the 19th District to report an identity theft from 11-29-21. An officer took their report but the complainant later discovered that the report was incorrectly prepared."
2/17/22,22-0068,2022-02-22 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 2-17-22 at 3:00 PM, while in the confines of the 19th District, they did not receive proper service from unknown 19th District officers. There was a shooting in the area of a school. The complainant states that no police arrived in the area of the school to protect the children."
3/13/21,21-0166,2021-04-13 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"On 3-13-21, while in the confines of the 19th District, the complainant was pulled over by police for a traffic infraction. The complainant repeatedly told officers that they did not consent to any searches but they disregarded their protests and placed them in their patrol car. The complainant states that the officers conducted an illegal search of their vehicle."
2/13/21,21-0169,2021-04-13 04:00:00+00,19,LACK OF SERVICE,"The complainant states they did not receive proper service from a sergeant and an officer while in the confines of the 19th District. According to the complainant, on 2-13-21 at 10:00 PM, their vehicle was involved in an auto accident. The complainant states that a sergeant and an officer signed off on the accident report stating that they viewed video footage of their vehicle committing a hit and run. The complainant states that their vehicle could not have been involved in a hit and run because it was disabled as a result of the accident and the operator never left the scene."
3/9/22,22-0097,2022-03-14 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-9-22 at 3:30 PM, while in the confines of the 19th District, officers arrived at their residence due to a call they received about an individual. The complainant states that the only individual at the property was a worker that was there to repair damage in the home but the police supervisor told them to leave. The complainant states that the supervisor allowed the previous tenant to walk through their home, looking for items and did not allow them to go with them to ensure nothing was taken. The complainant also states that the officers, including the supervisor, insisted that they were there illegally and needed to leave. The complainant has audio and video of the supervisor speaking to the officers, saying that they were lying about living there."
3/8/22,22-0106,2022-03-18 04:00:00+00,19,HARASSMENT,"According to the complainant, on 3-8-22 at 9:50 PM, while in the confines of the 19th District, they were double-parked, when police approached them. The officers made a U-turn and proceeded to pull their patrol car right up on the bumper of the car. The complainant states that they repeatedly asked why the officers were questioning them but the officers said they would tell them after they gave them their information. When the complainant¿s family came out of the house, their family member and one of the officers began arguing. The complainant states that the officer told their family member that if they were not in uniform, they would be fighting. The complainant states that they feel harassed and discriminated against, because the officers said that they saw a car like theirs used in a robbery and that the officer was 99% sure it was their vehicle. The complainant states that all they did that night was drop off their family members."
6/20/21,21-0379,2021-08-13 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-20-21 at 1:00 PM, they parked their vehicle within the confines of the 19th District. The complainant states that their family member was sitting in the vehicle, while they spoke to an officer a few feet away. The complainant states that another officer did not like the question that the complainant asked of an officer and proceeded to run the complainants license plate. The same officer then asked the complainant to move their car and told them that someone would come out to speak to them, but after 10 minutes of waiting, the complainant left. The complainant states that they were never told about or issued a ticket while there but later received a notice from the City of Philadelphia for a parking violation."
1/18/18,21-0516,2021-11-05 04:00:00+00,19,HARASSMENT,"According to the complainant, since 1-18-18, they were harassed by their neighbor, an off-duty officer, while in the confines of the 19th District. The complainant states that on the first occasion, the officer called the police on them over parking. On the second occasion, the officer called the complainant¿s landlord and told them that they allow a convicted felon to come into their home. On the third occasion, while walking their dog, the officer knocked on their window and either pointed a firearm or their hand at them."
5/10/21,21-0226,2021-05-12 04:00:00+00,19,CRIMINAL ALLEGATION,"According to the complainant, on 5-10-21 at 8:56 PM, while in the confines of the 19th District, their property is missing by an unknown officer. They were pulled over by police and searched. The complainant states that their wallet was taken by an officer and not returned when they were released from the stop."
7/20/21,22-0125,2022-03-31 04:00:00+00,19,CRIMINAL ALLEGATION,"According to the complainant, while in the confines of the 19th District, they have been assaulted, threatened and harassed by their neighbor, who they believe is an off duty officer. The complainant states that they were assaulted by this off duty officer on July 20, 2021. The complainant states that the officer has on numerous occasions threatened them with a knife and a gun."
5/7/21,21-0227,2021-05-12 04:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 5-7-21 at 10:00 AM, while in the confines of the 19th District, they did not receive proper service from unknown officers.  Several calls were made to 911 and 311 in reference to a dangerous highway condition.  The complainant states that for nearly four hours a vehicle blocked the highway in such a way that several near accidents almost occurred and traffic was backed up.  The complainant states that officers never responded to the location."
8/21/21,21-0402,2021-08-24 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-21-21 at 10:30 PM, while in the confines of the 19th District, they called 911 during a disturbance with a neighbor. When officers arrived, they told the complainant that they were drinking and to go into their home or take a breathalyzer test and put their hands behind their back. The complainant states that officers told an unknown person to park the complainant¿s vehicle. The unknown person drove off and has not returned their vehicle."
11/1/21,21-0528,2021-11-10 05:00:00+00,19,LACK OF SERVICE,"According to the complainant, on 11-01-21 at 10:05 AM, while in the confines of the 19th District, he spoke to an officer in regards to a prior incident. The complainant states that when they requested for the officer to make a phone call, the officer said, ¿We¿re not detectives. We don¿t solve crimes.¿ The complainant states that the officer told them to wait in the lobby for a supervisor but after waiting a few minutes, no supervisor came out. The complainant went to Southwest Detective Division where they spoke to a detective who looked up their report. The complainant states that the detective then informed them that the report they filed was a district level job and that the department will do absolutely nothing further on the matter. The detective did not offer any explanation."
11/10/21,21-0532,2021-11-15 05:00:00+00,19,HARASSMENT,"According to the complainant, on 11-10-21 at 12:00 AM, while in the confines of the 19th District, an officer rode past him six times. The complainant states that the officer then exited their vehicle and made remarks such as, ¿Go the f*ck home.¿ The complainant states the officer threatened them. When the complainant told the officer that they were at work and they were not going home, the officer said, ¿F*ck you,¿ then told them to get their teeth fixed. At 2:30 AM, while walking home, the officer followed them. The complainant asked the officer for their badge number; the officer said, ¿F*ck you,¿ and told them that they were not getting it."
4/8/21,21-0236,2021-05-18 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-8-21 at 1:58 AM, in the confines of the 19th District, officers violated department policies. Four officers dressed in all black banged on the door of a family members home.   One of the complainants family members spoke to an officer through a window who informed them that they were there to serve a warrant in reference to a homicide case.  At that time, the family members called 911.  The complainant states that the family member later allowed the officers to enter the home upon the arrival of uniformed officers.  The officers then searched the home.  The complainant states the officers did not provide them with a copy of any such warrant."
8/29/21,21-0416,2021-08-31 04:00:00+00,19,PHYSICAL ABUSE,"According to the complainant, on 8-29-21 at 5:15 PM, while in the confines of the 19th District, they were handcuffed and placed in the back of a patrol car. The officers told the complainant that someone said that they had a gun. The complainant was transported to a police facility and finger printed. Officers then told the complainant that they could leave. As the complainant attempted to enter their vehicle, officers pointed their firearms at them. The officers took their vehicle, keys and identification without a warrant."
3/14/22,22-0143,2022-04-07 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-14-22 at 7:26 AM, they were improperly ticketed and treated unprofessionally by an officer assigned to the 19th District. They were involved in a traffic incident with another operator, who stuck their finger up at them. The complainant states 45 minutes later, the same person they had the incident with was now operating a patrol car and issued them a ticket."
5/19/20,21-0256,2021-05-24 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-19-20 at 7:30 AM, their children¿s other parent arrived at their home, with police. The complainant states that officers forced themselves into their home and demanded that they give the children to their other parent, who was intoxicated. The complainant states that they told the officers that the other does not have custody and does not have a place to take them to. At that time, one of the officers told the sergeant that they had no right to remove the children. The sergeant informed the other parent how to remove the children from the home. The complainant states they have not seen their children ever since."
,22-0318,2022-07-20 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, during the year of 2021, a detective violated departmental policies while in the confines of the 19th District. A child was murdered. The complainant states that the detective is the family member of the person who was with the victim at the time of the murder. The complainant is alleging the detective is covering up details about the murder."
8/30/21,21-0431,2021-09-08 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-30-21 at 7:25 PM, while in the confines of the 19th District, they were improperly issued a ticket by an officer assigned to Highway Patrol. While traveling on the highway, they were stopped by an officer. The officer told the complainant that they did not put their turn signal on. The complainant told them that they clearly did put on their turn signal. The officer¿s partner told them that they did not. The complainant did not say anything else. The officer handed them a ticket. The complainant took the ticket, went to a police facility and spoke to a supervisor."
8/22/22,22-0381,2022-08-24 04:00:00+00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-22-22 at 1:41 PM, while in the confines of the 19th District, they were improperly stopped by a 19th District sergeant and an unknown officer. They were stopped by police. The complainant states that the reason they were stopped was that the police received a call of a person on a bike causing problems. The complainant feels the situation could have been handled better."
